mort,category,geography,year,sex,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
SA320801,Statistical Area Level 3 (SA3),Bayside,2021,Males,360,"49,052",733.9,469.1,0.79,88,24.4,145.2,"1,320",29.5,48,54.5,84,84.1
SA320802,Statistical Area Level 3 (SA3),Glen Eira,2017,Males,484,"77,279",626.3,533.2,0.85,137,28.3,177.9,"1,836",25.2,72,48.3,94.3,84.5
SA320802,Statistical Area Level 3 (SA3),Glen Eira,2018,Males,443,"78,064",567.5,495.5,0.82,134,30.2,172.4,"2,235",30.4,76,52.4,97.8,83.9
SA320802,Statistical Area Level 3 (SA3),Glen Eira,2019,Males,472,"78,767",599.2,530.5,0.84,136,28.8,173.6,"2,391",32.2,61,54,77.7,83.9
SA320802,Statistical Area Level 3 (SA3),Glen Eira,2020,Males,476,"79,052",602.1,527.6,0.9,146,30.7,177.6,"2,397",32.2,68,46.6,83.9,83.1
SA320802,Statistical Area Level 3 (SA3),Glen Eira,2021,Males,456,"77,130",591.2,492.9,0.83,137,30,167,"1,859",25.7,75,54.7,92.9,84.1
SA320803,Statistical Area Level 3 (SA3),Kingston,2017,Males,433,"60,075",720.8,569.6,0.91,133,30.7,210.3,"2,190",39.1,71,50,116.4,84
SA320803,Statistical Area Level 3 (SA3),Kingston,2018,Males,449,"60,665",740.1,588.3,0.97,124,27.6,192.6,"1,868",33,77,58.3,119.9,83
SA320803,Statistical Area Level 3 (SA3),Kingston,2019,Males,467,"61,136",763.9,606.9,0.96,140,30,210.8,"2,204",38.7,63,51.2,96.2,81.8
SA320803,Statistical Area Level 3 (SA3),Kingston,2020,Males,403,"61,101",659.6,514.8,0.88,134,33.3,197.5,"1,864",32.8,66,49.3,99.1,81.7
SA320803,Statistical Area Level 3 (SA3),Kingston,2021,Males,429,"59,685",718.8,544.2,0.91,133,31,200.1,"2,052",37.1,60,45.1,94.4,83.3
SA320804,Statistical Area Level 3 (SA3),Stonnington - East,2017,Males,122,"21,192",575.7,466.3,0.74,35,28.7,158.5,630,31.8,19,52.8,,82.6
SA320804,Statistical Area Level 3 (SA3),Stonnington - East,2018,Males,125,"21,331",586,456.9,0.76,28,22.4,124.1,292,14.7,15,51.7,,85.5
SA320804,Statistical Area Level 3 (SA3),Stonnington - East,2019,Males,156,"21,514",725.1,556.6,0.88,38,24.4,169.3,567,28.3,21,58.3,91.6,85
SA320804,Statistical Area Level 3 (SA3),Stonnington - East,2020,Males,142,"21,393",663.8,498.7,0.85,40,28.2,174.4,513,25.9,16,40,,83.2
SA320804,Statistical Area Level 3 (SA3),Stonnington - East,2021,Males,170,"20,592",825.6,588.1,0.98,44,25.9,204.2,660,34.8,22,50,106.1,84
SA320901,Statistical Area Level 3 (SA3),Banyule,2017,Males,433,"63,027",687,556.8,0.89,131,30.3,190.3,"2,020",34.4,62,45.6,92.5,82.7
SA320901,Statistical Area Level 3 (SA3),Banyule,2018,Males,400,"63,512",629.8,504.4,0.83,134,33.5,187.3,"1,868",31.6,68,47.9,96.5,82.2
SA320901,Statistical Area Level 3 (SA3),Banyule,2019,Males,498,"63,951",778.7,621.1,0.98,162,32.5,226.4,"2,458",41.4,71,47.7,101.3,80.6
SA320901,Statistical Area Level 3 (SA3),Banyule,2020,Males,427,"63,712",670.2,527.5,0.9,149,34.9,209.3,"2,173",36.8,76,51,107.9,81
SA320901,Statistical Area Level 3 (SA3),Banyule,2021,Males,433,"62,244",695.6,522.1,0.87,133,30.7,187.7,"2,056",35.7,62,46.6,90.3,83.1
SA320902,Statistical Area Level 3 (SA3),Darebin - North,2017,Males,378,"49,650",761.3,656.3,1.05,127,33.6,286.6,"1,986",42.9,68,51.1,152.4,81.6
SA320902,Statistical Area Level 3 (SA3),Darebin - North,2018,Males,345,"49,843",692.2,603.3,1,123,35.7,273.8,"2,160",46.4,64,49.6,139.8,80.8
SA320902,Statistical Area Level 3 (SA3),Darebin - North,2019,Males,390,"49,873",782,662.6,1.05,127,32.6,278.2,"2,051",44,62,53.9,136,82.5
SA320902,Statistical Area Level 3 (SA3),Darebin - North,2020,Males,374,"49,701",752.5,635.5,1.09,131,35,275.5,"2,055",44.2,60,45.8,126.8,81.6
SA320902,Statistical Area Level 3 (SA3),Darebin - North,2021,Males,381,"47,691",798.9,666,1.12,132,34.6,296.1,"2,120",47.7,62,47,140.4,81.2
SA320903,Statistical Area Level 3 (SA3),Nillumbik - Kinglake,2017,Males,119,"34,092",349.1,430.7,0.69,52,43.7,127.5,712,21.8,31,57.4,78.4,78.3
SA320903,Statistical Area Level 3 (SA3),Nillumbik - Kinglake,2018,Males,137,"34,174",400.9,456.1,0.75,62,45.3,151,930,28.5,28,43.1,72.8,77.2
SA320903,Statistical Area Level 3 (SA3),Nillumbik - Kinglake,2019,Males,171,"34,151",500.7,562,0.89,79,46.2,196.9,"1,290",39.6,36,48.6,87.4,75.9
SA320903,Statistical Area Level 3 (SA3),Nillumbik - Kinglake,2020,Males,156,"34,020",458.6,505.8,0.87,58,37.2,143.5,735,22.8,26,44.8,67.9,79.7
SA320903,Statistical Area Level 3 (SA3),Nillumbik - Kinglake,2021,Males,163,"33,702",483.7,488.5,0.82,62,38,143.7,899,28.2,26,41.9,60.2,79.5
SA320904,Statistical Area Level 3 (SA3),Whittlesea - Wallan,2017,Males,548,"115,382",474.9,603.7,0.96,233,42.5,223.9,"4,047",36.6,124,51,118.7,78.1
SA320904,Statistical Area Level 3 (SA3),Whittlesea - Wallan,2018,Males,530,"119,014",445.3,553.5,0.92,233,44,215.1,"3,783",33.2,123,50.6,113.2,77.5
SA320904,Statistical Area Level 3 (SA3),Whittlesea - Wallan,2019,Males,661,"122,446",539.8,666.3,1.06,279,42.2,253.1,"4,622",39.4,124,47.9,111.6,78.3
SA320904,Statistical Area Level 3 (SA3),Whittlesea - Wallan,2020,Males,611,"125,663",486.2,589.3,1.01,246,40.3,214.5,"4,358",36.3,120,48.8,104.2,79.1
SA320904,Statistical Area Level 3 (SA3),Whittlesea - Wallan,2021,Males,647,"127,183",508.7,597.8,1,258,39.9,218.7,"4,499",37,121,46.9,103.4,78.3
SA321001,Statistical Area Level 3 (SA3),Keilor,2017,Males,225,"30,537",736.8,494,0.79,78,34.7,227.7,"1,067",38.5,41,51.3,120,81.8
SA321001,Statistical Area Level 3 (SA3),Keilor,2018,Males,220,"30,874",712.6,454.4,0.75,54,24.5,155.7,770,27.5,21,36.8,59.1,83.8
SA321001,Statistical Area Level 3 (SA3),Keilor,2019,Males,239,"31,220",765.5,509.3,0.81,76,31.8,223.3,"1,300",46,33,46.5,98.7,81.4
SA321001,Statistical Area Level 3 (SA3),Keilor,2020,Males,272,"31,093",874.8,551.2,0.94,65,23.9,191.1,986,35,33,50.8,97.6,83.7
SA321001,Statistical Area Level 3 (SA3),Keilor,2021,Males,250,"30,419",821.9,497.6,0.83,66,26.4,192.9,967,35.3,33,50,95.7,83.5
SA321002,Statistical Area Level 3 (SA3),Macedon Ranges,2017,Males,80,"15,629",511.9,530,0.85,36,45,195.6,584,39.4,19,48.7,,76
SA321002,Statistical Area Level 3 (SA3),Macedon Ranges,2018,Males,89,"15,891",560.1,580.7,0.96,38,42.7,211.4,676,44.9,18,46.2,,78.4
SA321002,Statistical Area Level 3 (SA3),Macedon Ranges,2019,Males,99,"16,133",613.6,626.7,0.99,46,46.5,251.8,836,54.8,23,54.8,128.7,75.9
SA321002,Statistical Area Level 3 (SA3),Macedon Ranges,2020,Males,76,"16,324",465.6,443.7,0.76,35,46.1,183.7,566,36.8,13,37.1,,76
SA321002,Statistical Area Level 3 (SA3),Macedon Ranges,2021,Males,101,"16,513",611.6,584.9,0.98,41,40.6,204.9,662,42.8,15,36.6,,77.8
SA321003,Statistical Area Level 3 (SA3),Moreland - North,2017,Males,352,"40,387",871.6,697.7,1.11,93,26.4,287.5,"1,496",39.9,47,47.5,145.6,83.9
SA321003,Statistical Area Level 3 (SA3),Moreland - North,2018,Males,334,"40,978",815.1,673.4,1.11,90,26.9,278,"1,378",36.2,51,54.3,154.2,83.5
SA321003,Statistical Area Level 3 (SA3),Moreland - North,2019,Males,334,"41,446",805.9,701.6,1.11,107,32,327.4,"1,852",47.9,50,51.5,151.6,82.7
SA321003,Statistical Area Level 3 (SA3),Moreland - North,2020,Males,343,"41,577",825,703,1.2,99,28.9,293.3,"1,740",44.8,45,45.5,132.9,83.4
SA321003,Statistical Area Level 3 (SA3),Moreland - North,2021,Males,295,"40,560",727.3,587.1,0.98,70,23.7,209.1,"1,218",32.1,32,45.7,92.4,84.7
SA321004,Statistical Area Level 3 (SA3),Sunbury,2017,Males,111,"20,521",540.9,608.8,0.97,45,40.5,216.6,572,29.2,28,54.9,134.4,79.5
SA321004,Statistical Area Level 3 (SA3),Sunbury,2018,Males,105,"20,986",500.3,543,0.9,50,47.6,223.2,713,35.6,28,53.8,124.8,75.6
SA321004,Statistical Area Level 3 (SA3),Sunbury,2019,Males,110,"21,669",507.6,548.8,0.87,57,51.8,255.6,"1,198",57.9,27,55.1,124,74.3
SA321004,Statistical Area Level 3 (SA3),Sunbury,2020,Males,129,"22,224",580.5,652,1.12,49,38,211.2,905,42.7,26,53.1,110.6,78.6
SA321004,Statistical Area Level 3 (SA3),Sunbury,2021,Males,123,"22,377",549.7,589.7,0.99,54,43.9,222.5,945,44.3,33,61.1,135.7,77.8
SA321005,Statistical Area Level 3 (SA3),Tullamarine - Broadmeadows,2017,Males,360,"89,168",403.7,619.1,0.99,191,53.1,250.2,"3,545",41,105,51.5,135,74.1
SA321005,Statistical Area Level 3 (SA3),Tullamarine - Broadmeadows,2018,Males,340,"93,639",363.1,557,0.92,179,52.6,230.6,"2,861",31.5,91,48.1,116.5,74.1
SA321005,Statistical Area Level 3 (SA3),Tullamarine - Broadmeadows,2019,Males,400,"98,396",406.5,608.3,0.96,210,52.5,247.4,"4,811",50.5,99,52.9,114.4,73.5
SA321005,Statistical Area Level 3 (SA3),Tullamarine - Broadmeadows,2020,Males,369,"102,415",360.3,541.1,0.93,190,51.5,221.5,"3,269",33,93,48.9,109,74.6
SA321005,Statistical Area Level 3 (SA3),Tullamarine - Broadmeadows,2021,Males,467,"104,264",447.9,674.5,1.13,205,43.9,232.4,"3,376",33.5,102,49.8,115.7,77
SA321101,Statistical Area Level 3 (SA3),Knox,2017,Males,506,"79,464",636.8,604.7,0.97,181,35.8,208.4,"2,831",37.8,99,51.8,117,80.3
SA321101,Statistical Area Level 3 (SA3),Knox,2018,Males,424,"79,947",530.4,494.7,0.82,154,36.3,178.7,"2,492",33.1,86,51.2,102.6,79.7
SA321101,Statistical Area Level 3 (SA3),Knox,2019,Males,556,"80,369",691.8,624.9,0.99,228,41,261.1,"4,062",53.8,92,45.1,108,79.3
SA321101,Statistical Area Level 3 (SA3),Knox,2020,Males,495,"80,220",617.1,536.9,0.92,183,37,202.9,"2,876",38.3,86,47,96.4,80.4
SA321101,Statistical Area Level 3 (SA3),Knox,2021,Males,522,"78,938",661.3,548.8,0.92,179,34.3,200,"2,877",39.1,80,44.7,93.2,80.7
SA321102,Statistical Area Level 3 (SA3),Manningham - East,2017,Males,96,"13,595",706.1,566.5,0.91,28,29.2,168.7,374,29.5,15,53.6,,84
SA321102,Statistical Area Level 3 (SA3),Manningham - East,2018,Males,86,"13,612",631.8,495.3,0.82,21,24.4,133.8,386,30.5,15,65.2,,84
SA321102,Statistical Area Level 3 (SA3),Manningham - East,2019,Males,96,"13,569",707.5,545.7,0.87,26,27.1,173.9,416,33.1,12,50,,81
SA321102,Statistical Area Level 3 (SA3),Manningham - East,2020,Males,78,"13,391",582.5,403.8,0.69,22,28.2,127.7,263,21.3,12,54.5,,84.3
SA321102,Statistical Area Level 3 (SA3),Manningham - East,2021,Males,83,"13,082",634.5,406.5,0.68,21,25.3,123,233,19.5,11,52.4,,84.2
SA321103,Statistical Area Level 3 (SA3),Maroondah,2017,Males,359,"56,388",636.7,570.7,0.91,115,32,193.9,"1,673",31.5,66,51.2,112,81.6
SA321103,Statistical Area Level 3 (SA3),Maroondah,2018,Males,346,"56,829",608.8,534.9,0.89,107,30.9,178,"1,731",32.4,63,55.3,106.4,82.7
SA321103,Statistical Area Level 3 (SA3),Maroondah,2019,Males,429,"57,257",749.3,653.8,1.04,166,38.7,278.4,"3,010",56.1,74,51,125.8,80.6
SA321103,Statistical Area Level 3 (SA3),Maroondah,2020,Males,391,"57,363",681.6,585.2,1,156,39.9,253.7,"2,633",49.1,68,43.6,111.9,79
SA321103,Statistical Area Level 3 (SA3),Maroondah,2021,Males,403,"56,219",716.8,591.6,0.99,143,35.5,239.5,"2,406",46,72,50.3,125.4,80.2
SA321104,Statistical Area Level 3 (SA3),Whitehorse - East,2017,Males,204,"31,244",652.9,481.6,0.77,43,21.1,128.8,624,21.6,25,55.6,78.1,85.1
SA321104,Statistical Area Level 3 (SA3),Whitehorse - East,2018,Males,197,"31,503",625.3,458.5,0.76,52,26.4,152.9,754,26,28,49.1,86.5,84.9
SA321104,Statistical Area Level 3 (SA3),Whitehorse - East,2019,Males,228,"31,586",721.8,539.8,0.86,74,32.5,221.5,"1,260",43.4,34,50.7,104.4,81.1
SA321104,Statistical Area Level 3 (SA3),Whitehorse - East,2020,Males,211,"31,567",668.4,469.3,0.8,56,26.5,161.7,754,26,31,55.4,90.4,82.3
SA321104,Statistical Area Level 3 (SA3),Whitehorse - East,2021,Males,210,"30,825",681.3,450.9,0.76,51,24.3,145.3,517,18.3,23,45.1,66.7,84.6
SA321105,Statistical Area Level 3 (SA3),Yarra Ranges,2017,Males,423,"77,468",546,541.9,0.87,172,40.7,197.4,"2,727",37.2,98,50.8,119,78.9
SA321105,Statistical Area Level 3 (SA3),Yarra Ranges,2018,Males,423,"77,994",542.3,509.9,0.84,202,47.8,225.3,"3,192",43.4,121,55.5,139.4,76.2
SA321105,Statistical Area Level 3 (SA3),Yarra Ranges,2019,Males,507,"78,475",646.1,601.7,0.95,243,47.9,274.8,"3,839",51.9,96,46.6,111,75.9
SA321105,Statistical Area Level 3 (SA3),Yarra Ranges,2020,Males,471,"78,499",600,541.1,0.93,206,43.7,226.1,"3,183",43.2,114,55.3,129.3,77.8
SA321105,Statistical Area Level 3 (SA3),Yarra Ranges,2021,Males,510,"77,795",655.6,576.6,0.97,212,41.6,230.7,"3,171",43.6,117,55.2,131.6,78.9
SA321201,Statistical Area Level 3 (SA3),Cardinia,2017,Males,231,"50,724",455.4,572.1,0.91,80,34.6,162.6,"1,443",29.7,46,50.5,93.2,79
SA321201,Statistical Area Level 3 (SA3),Cardinia,2018,Males,221,"53,052",416.6,502.3,0.83,106,48,214.2,"1,921",37.8,60,54.5,121.7,76.5
SA321201,Statistical Area Level 3 (SA3),Cardinia,2019,Males,303,"55,544",545.5,656.1,1.04,143,47.2,283.9,"2,461",46.3,78,60.9,157,75.9
SA321201,Statistical Area Level 3 (SA3),Cardinia,2020,Males,291,"57,719",504.2,611.3,1.05,105,36.1,196.9,"2,023",36.7,62,59,116.2,79.9
SA321201,Statistical Area Level 3 (SA3),Cardinia,2021,Males,277,"59,243",467.6,543,0.91,114,41.2,208.3,"2,366",41.9,63,55.3,115.3,77.7
SA321202,Statistical Area Level 3 (SA3),Casey - North,2017,Males,352,"69,409",507.1,579.1,0.93,125,35.5,185,"2,246",33.9,78,58.2,117.8,80.1
SA321202,Statistical Area Level 3 (SA3),Casey - North,2018,Males,333,"70,030",475.5,524.6,0.87,130,39,185.2,"2,211",33.1,79,56.4,114.8,80.2
SA321202,Statistical Area Level 3 (SA3),Casey - North,2019,Males,428,"70,507",607,651.4,1.03,180,42.1,253.2,"3,204",47.8,78,48.4,110.1,78.1
SA321202,Statistical Area Level 3 (SA3),Casey - North,2020,Males,370,"70,493",524.9,549.4,0.94,160,43.2,228.2,"3,158",47.2,77,48.1,110.5,78.2
SA321202,Statistical Area Level 3 (SA3),Casey - North,2021,Males,389,"69,304",561.3,569.3,0.95,147,37.8,206.1,"2,486",37.9,58,39.5,82.6,79.4
SA321203,Statistical Area Level 3 (SA3),Casey - South,2017,Males,323,"93,291",346.2,609.3,0.97,161,49.8,217.8,"3,134",34.5,95,53.4,123.1,75.1
SA321203,Statistical Area Level 3 (SA3),Casey - South,2018,Males,307,"99,255",309.3,528.3,0.87,166,54.1,210.3,"3,615",37.4,96,53.6,116.2,72.8
SA321203,Statistical Area Level 3 (SA3),Casey - South,2019,Males,399,"105,757",377.3,638.1,1.01,221,55.4,256.8,"5,081",49.3,96,50.3,111.2,72.4
SA321203,Statistical Area Level 3 (SA3),Casey - South,2020,Males,409,"111,575",366.6,652.4,1.12,202,49.4,232.1,"4,005",36.9,101,50,113.3,75.1
SA321203,Statistical Area Level 3 (SA3),Casey - South,2021,Males,404,"115,595",349.5,608.3,1.02,207,51.2,230.1,"3,899",34.7,110,53.1,119.9,74.6
SA321204,Statistical Area Level 3 (SA3),Dandenong,2017,Males,632,"101,888",620.3,600.7,0.96,220,34.8,218.6,"3,601",37.5,125,51.9,124.9,80.4
SA321204,Statistical Area Level 3 (SA3),Dandenong,2018,Males,603,"102,998",585.4,553.4,0.92,235,39,225.8,"3,656",37.7,102,41.5,100.9,79.5
SA321204,Statistical Area Level 3 (SA3),Dandenong,2019,Males,687,"103,893",661.3,617.4,0.98,282,41,272.6,"4,960",50.7,124,49.6,119.8,79.1
SA321204,Statistical Area Level 3 (SA3),Dandenong,2020,Males,703,"103,328",680.4,609.3,1.04,285,40.5,269.8,"4,588",47.3,144,50.5,137.1,79.4
SA321204,Statistical Area Level 3 (SA3),Dandenong,2021,Males,716,"99,728",718,619.3,1.04,278,38.8,275.5,"4,456",47.9,138,49.6,137.8,80
SA321205,Statistical Area Level 3 (SA3),Monash,2017,Males,592,"93,422",633.7,482.5,0.77,158,26.7,176.3,"2,545",29.5,92,52.3,103.2,82.9
SA321205,Statistical Area Level 3 (SA3),Monash,2018,Males,571,"94,984",601.2,449.4,0.74,150,26.3,164.1,"2,579",29.4,74,47.4,82.4,83.8
SA321205,Statistical Area Level 3 (SA3),Monash,2019,Males,712,"96,179",740.3,550.7,0.87,195,27.4,211.5,"3,105",35,94,55,102.7,83.4
SA321205,Statistical Area Level 3 (SA3),Monash,2020,Males,625,"96,704",646.3,472.7,0.81,166,26.6,176.8,"2,624",29.5,88,53,93,83
SA321205,Statistical Area Level 3 (SA3),Monash,2021,Males,700,"92,988",752.8,521.5,0.87,196,28,211.6,"2,878",33.8,85,43.4,92.5,83.2
SA321301,Statistical Area Level 3 (SA3),Brimbank,2017,Males,570,"99,295",574,645.7,1.03,270,47.4,267.1,"4,595",48.5,163,55.8,162.4,76.7
SA321301,Statistical Area Level 3 (SA3),Brimbank,2018,Males,564,"99,686",565.8,626.3,1.04,248,44,241.7,"3,845",40.5,126,48.5,122.2,77.9
SA321301,Statistical Area Level 3 (SA3),Brimbank,2019,Males,658,"99,647",660.3,695.9,1.1,316,48,302.3,"5,714",60.3,136,48.2,133.1,75.9
SA321301,Statistical Area Level 3 (SA3),Brimbank,2020,Males,574,"98,328",583.8,590.5,1.01,256,44.6,246,"4,009",43.1,121,47.3,118.4,77.7
SA321301,Statistical Area Level 3 (SA3),Brimbank,2021,Males,583,"94,650",616,587.1,0.98,255,43.7,251.5,"3,949",44.3,124,48.6,125,77.7
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2017,Males,317,"43,840",723.1,643.4,1.03,106,33.4,236.4,"1,574",38.2,56,49.1,124.2,81.1
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2018,Males,253,"44,075",574,512.5,0.85,93,36.8,197.2,"1,627",39.2,57,59.4,121.3,80.1
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2019,Males,320,"44,314",722.1,635,1.01,126,39.4,263,"1,796",43.1,58,50.4,125.2,79.4
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2020,Males,318,"43,943",723.7,636.2,1.09,107,33.6,225,"1,637",39.7,59,55.1,123.3,80.9
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2021,Males,283,"42,749",662,560.2,0.94,110,38.9,232.8,"1,722",43,62,56.4,133.3,79.6
SA321303,Statistical Area Level 3 (SA3),Maribyrnong,2017,Males,250,"44,532",561.4,745,1.19,106,42.4,305.8,"2,020",47.1,63,56.3,171.9,78.6
SA321303,Statistical Area Level 3 (SA3),Maribyrnong,2018,Males,261,"44,836",582.1,767.7,1.27,108,41.4,302.4,"2,031",47,55,47.8,154.2,79.2
SA321303,Statistical Area Level 3 (SA3),Maribyrnong,2019,Males,283,"45,066",628,834.2,1.32,128,45.2,353.1,"2,396",55.1,62,53.9,170.2,78.3
SA321303,Statistical Area Level 3 (SA3),Maribyrnong,2020,Males,259,"44,953",576.2,745,1.28,117,45.2,314.3,"2,031",46.9,62,53,168.7,77.1
SA321303,Statistical Area Level 3 (SA3),Maribyrnong,2021,Males,243,"43,505",558.6,684.3,1.15,105,43.2,277.5,"1,718",41.1,49,46.7,126,78.2
SA321304,Statistical Area Level 3 (SA3),Melton - Bacchus Marsh,2017,Males,332,"83,160",399.2,649.5,1.04,183,55.1,257.6,"2,972",36.7,100,52.4,139.9,73.4
SA321304,Statistical Area Level 3 (SA3),Melton - Bacchus Marsh,2018,Males,315,"87,490",360,573.9,0.95,171,54.3,223.4,"3,358",39.5,91,49.5,116.1,73.6
SA321304,Statistical Area Level 3 (SA3),Melton - Bacchus Marsh,2019,Males,367,"91,845",399.6,636.7,1.01,196,53.4,247.3,"3,900",43.7,96,54.9,119.7,73.2
SA321304,Statistical Area Level 3 (SA3),Melton - Bacchus Marsh,2020,Males,364,"96,023",379.1,604,1.04,179,49.2,214.6,"3,469",37.2,86,48,102.4,75.5
SA321304,Statistical Area Level 3 (SA3),Melton - Bacchus Marsh,2021,Males,406,"100,411",404.3,621.6,1.04,209,51.5,240.6,"4,221",43.4,111,53.1,127,74.3
SA321305,Statistical Area Level 3 (SA3),Wyndham,2017,Males,405,"124,912",324.2,636.1,1.02,215,53.1,230.4,"4,188",34.3,128,55.2,132.4,73.4
SA321305,Statistical Area Level 3 (SA3),Wyndham,2018,Males,442,"132,848",332.7,673.1,1.11,232,52.5,236.4,"4,634",35.7,134,54,132.1,73.8
SA321305,Statistical Area Level 3 (SA3),Wyndham,2019,Males,473,"141,174",335,639.2,1.01,274,57.9,258.4,"6,022",43.6,136,56.4,123.6,71.8
SA321305,Statistical Area Level 3 (SA3),Wyndham,2020,Males,477,"148,195",321.9,646.2,1.11,248,52,221.6,"5,525",38.1,136,54.8,116.8,74.1
SA321305,Statistical Area Level 3 (SA3),Wyndham,2021,Males,509,"152,717",333.3,656.9,1.1,283,55.6,262.7,"5,039",33.8,134,47.3,118.2,73
SA321401,Statistical Area Level 3 (SA3),Frankston,2017,Males,444,"68,990",643.6,601.4,0.96,173,39,233.9,"2,784",42.8,112,59.3,154.8,79.1
SA321401,Statistical Area Level 3 (SA3),Frankston,2018,Males,476,"69,400",685.9,638.1,1.06,210,44.1,288.9,"3,793",58,115,52,162.2,78.3
SA321401,Statistical Area Level 3 (SA3),Frankston,2019,Males,609,"69,584",875.2,809.3,1.28,278,45.6,384.4,"5,494",83.8,133,53,185.3,77.4
SA321401,Statistical Area Level 3 (SA3),Frankston,2020,Males,452,"69,628",649.2,587.1,1.01,198,43.8,268,"3,689",56.4,104,52.5,144.4,78.5
SA321401,Statistical Area Level 3 (SA3),Frankston,2021,Males,496,"69,093",717.9,629.5,1.05,227,45.8,300.1,"3,797",58.6,111,48.9,150.6,77.1
SA321402,Statistical Area Level 3 (SA3),Mornington Peninsula,2017,Males,705,"79,879",882.6,534.5,0.85,226,32.1,222.5,"3,192",44.5,115,48.9,120,81.5
SA321402,Statistical Area Level 3 (SA3),Mornington Peninsula,2018,Males,706,"80,995",871.7,510.3,0.84,222,31.4,205.9,"3,008",41.5,107,46.7,104.6,81.5
SA321402,Statistical Area Level 3 (SA3),Mornington Peninsula,2019,Males,778,"81,892",950,546.3,0.87,227,29.2,216.3,"3,310",45.3,103,48.8,105.4,82
SA321402,Statistical Area Level 3 (SA3),Mornington Peninsula,2020,Males,732,"82,569",886.5,493.9,0.85,221,30.2,203.4,"3,228",44.1,119,53.8,113.3,82.1
SA321402,Statistical Area Level 3 (SA3),Mornington Peninsula,2021,Males,871,"82,744",1052.6,559.8,0.94,249,28.6,224.8,"3,455",47.4,109,43.8,108.7,82.2
SA321501,Statistical Area Level 3 (SA3),Grampians,2017,Males,349,"30,118",1158.8,721.8,1.15,122,35,312.6,"1,715",62.9,65,51.2,176.1,81.5
SA321501,Statistical Area Level 3 (SA3),Grampians,2018,Males,346,"30,171",1146.8,719.2,1.19,132,38.2,335,"1,768",64.8,78,55.7,214.1,79.1
SA321501,Statistical Area Level 3 (SA3),Grampians,2019,Males,350,"30,273",1156.1,733.8,1.16,137,39.1,357.9,"2,009",73.5,68,54.8,183.1,78.9
SA321501,Statistical Area Level 3 (SA3),Grampians,2020,Males,311,"30,389",1023.4,637.4,1.09,115,37,295.8,"1,870",68.2,68,59.1,178.3,79.4
SA321501,Statistical Area Level 3 (SA3),Grampians,2021,Males,311,"30,382",1023.6,615.8,1.03,113,36.3,275.5,"1,513",55.3,54,47.8,131.6,81
SA321502,Statistical Area Level 3 (SA3),Mildura,2017,Males,244,"27,528",886.4,695.6,1.11,91,37.3,290.2,"1,543",60.4,47,49,150.7,80.3
SA321502,Statistical Area Level 3 (SA3),Mildura,2018,Males,246,"27,916",881.2,671.9,1.11,106,43.1,308,"1,270",49,54,49.1,165,78.5
SA321502,Statistical Area Level 3 (SA3),Mildura,2019,Males,282,"28,207",999.8,797.5,1.26,118,41.8,376.9,"2,152",82.3,59,54.1,210.5,78.5
SA321502,Statistical Area Level 3 (SA3),Mildura,2020,Males,249,"28,432",875.8,670.9,1.15,106,42.6,310.5,"1,628",61.9,49,46.2,161.5,78.3
SA321502,Statistical Area Level 3 (SA3),Mildura,2021,Males,287,"28,205",1017.6,749.5,1.26,122,42.5,342.6,"1,570",60.3,64,52.5,186.3,77.7
SA321503,Statistical Area Level 3 (SA3),Murray River - Swan Hill,2017,Males,217,"19,164",1132.3,745.1,1.19,82,37.8,349.3,"1,338",77,50,58.1,236.4,80.4
SA321503,Statistical Area Level 3 (SA3),Murray River - Swan Hill,2018,Males,217,"19,221",1129,729.8,1.21,82,37.8,333.6,"1,302",74.7,46,54.1,199.3,78.9
SA321503,Statistical Area Level 3 (SA3),Murray River - Swan Hill,2019,Males,234,"19,253",1215.4,789.2,1.25,86,36.8,358.5,"1,324",75.8,40,50.6,179.4,79.8
SA321503,Statistical Area Level 3 (SA3),Murray River - Swan Hill,2020,Males,200,"19,264",1038.2,670.4,1.15,77,38.5,320.7,"1,360",78,43,55.8,182.8,80
SA321503,Statistical Area Level 3 (SA3),Murray River - Swan Hill,2021,Males,203,"19,240",1055.1,646.5,1.08,69,34,254.5,913,52.5,30,43.5,118.6,79.3
SA321601,Statistical Area Level 3 (SA3),Campaspe,2017,Males,211,"18,860",1118.8,708.2,1.13,75,35.5,288.2,944,55.2,45,57,174.6,79.2
SA321601,Statistical Area Level 3 (SA3),Campaspe,2018,Males,210,"18,941",1108.7,695.3,1.15,73,34.8,292.8,958,55.9,39,51.3,161.8,82.2
SA321601,Statistical Area Level 3 (SA3),Campaspe,2019,Males,196,"18,986",1032.3,617.1,0.98,75,38.3,266.5,703,41.1,40,58.8,147.5,79.6
SA321601,Statistical Area Level 3 (SA3),Campaspe,2020,Males,213,"19,052",1118,701.1,1.2,79,37.1,320.2,"1,118",65.3,43,54.4,192.8,80.2
